epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2438.52,0.69459,0.31181,0.93666,0.99917,1,0.995,0.85274,0.70165,0.27568,0.90501,0.000693351,0.000693351,0.000693351
80,2489.33,0.70308,0.31295,0.93402,0.99948,1,0.995,0.85016,0.70214,0.27249,0.90526,0.000683919,0.000683919,0.000683919
81,2546.77,0.70045,0.31325,0.94086,0.99893,1,0.995,0.85009,0.70417,0.28573,0.91042,0.000674488,0.000674488,0.000674488
82,2577.11,0.70194,0.31137,0.94059,0.99945,1,0.995,0.84917,0.70673,0.2814,0.90822,0.000665057,0.000665057,0.000665057
83,2601.25,0.68787,0.30634,0.93422,0.99947,1,0.995,0.85233,0.69455,0.27885,0.90096,0.000655625,0.000655625,0.000655625
84,2625.75,0.69583,0.31134,0.94354,0.99942,1,0.995,0.85441,0.69785,0.27449,0.90409,0.000646194,0.000646194,0.000646194
85,2650.16,0.68528,0.30474,0.93371,0.99953,1,0.995,0.85694,0.69969,0.27667,0.90221,0.000636762,0.000636762,0.000636762
86,2674.46,0.69217,0.30649,0.94119,0.9995,1,0.995,0.85153,0.69822,0.27155,0.901,0.000627331,0.000627331,0.000627331
87,2698.88,0.68667,0.30067,0.93575,0.99944,1,0.995,0.85204,0.69974,0.27792,0.90073,0.0006179,0.0006179,0.0006179
88,2724.15,0.68581,0.30264,0.92625,0.99946,1,0.995,0.85159,0.69854,0.28183,0.89601,0.000608468,0.000608468,0.000608468
89,2750.24,0.69189,0.30602,0.93287,0.9993,1,0.995,0.85139,0.70168,0.27811,0.90198,0.000599037,0.000599037,0.000599037
90,2777.32,0.69902,0.30568,0.93884,0.99921,1,0.995,0.8521,0.69448,0.27313,0.89866,0.000589605,0.000589605,0.000589605
91,2804.97,0.67964,0.30156,0.93505,0.99951,1,0.995,0.85512,0.69425,0.27305,0.90105,0.000580174,0.000580174,0.000580174
92,2832.15,0.69185,0.30385,0.93437,0.99941,1,0.995,0.85568,0.69464,0.26744,0.89761,0.000570743,0.000570743,0.000570743
93,2873.89,0.6841,0.30035,0.9302,0.99942,1,0.995,0.85619,0.68781,0.27094,0.89655,0.000561311,0.000561311,0.000561311
94,2899.35,0.67696,0.30194,0.93043,0.9994,1,0.995,0.85926,0.68858,0.26738,0.89882,0.00055188,0.00055188,0.00055188
95,2924.54,0.6926,0.3023,0.94067,0.99952,1,0.995,0.85645,0.69294,0.26917,0.90293,0.000542448,0.000542448,0.000542448
96,2950.09,0.67264,0.29503,0.92808,0.99934,1,0.995,0.85682,0.68415,0.26524,0.89516,0.000533017,0.000533017,0.000533017
97,2975.73,0.68541,0.3008,0.9379,0.99948,1,0.995,0.85116,0.69408,0.26785,0.90433,0.000523586,0.000523586,0.000523586
98,3001.39,0.6734,0.29722,0.93816,0.99952,1,0.995,0.85476,0.68903,0.26562,0.90622,0.000514154,0.000514154,0.000514154
99,3026.22,0.67725,0.29291,0.93965,0.9994,1,0.995,0.85594,0.6902,0.26393,0.9082,0.000504723,0.000504723,0.000504723
100,3060.81,0.67511,0.29708,0.93523,0.99945,1,0.995,0.84953,0.69916,0.26609,0.90532,0.000495291,0.000495291,0.000495291
101,3097.13,0.67458,0.29216,0.92954,0.99935,1,0.995,0.8587,0.68503,0.26372,0.89858,0.00048586,0.00048586,0.00048586
102,3133.26,0.66574,0.29262,0.93396,0.99945,1,0.995,0.85814,0.69198,0.26393,0.9024,0.000476429,0.000476429,0.000476429
103,3179.14,0.66983,0.28998,0.93353,0.99937,1,0.995,0.8574,0.69269,0.2642,0.9018,0.000466997,0.000466997,0.000466997
104,3214.76,0.66447,0.29023,0.92863,0.99938,1,0.995,0.85343,0.69097,0.26377,0.90225,0.000457566,0.000457566,0.000457566
105,3250.24,0.66627,0.29036,0.92946,0.99957,1,0.995,0.8561,0.68947,0.2644,0.90564,0.000448134,0.000448134,0.000448134
106,3285.6,0.661,0.29258,0.93175,0.99951,1,0.995,0.85858,0.68943,0.26305,0.90042,0.000438703,0.000438703,0.000438703
107,3320.91,0.65856,0.28731,0.93006,0.99947,1,0.995,0.857,0.69586,0.26327,0.9048,0.000429272,0.000429272,0.000429272
108,3355.89,0.66156,0.28941,0.92683,0.9994,1,0.995,0.8581,0.68818,0.26017,0.8981,0.00041984,0.00041984,0.00041984
